#{"t_start": 1764568020.4978087, "env_id": "intersection-v1"}
r,l,t
7.604657,13,370.341079
8.616025,10,370.838226
9.0,9,371.266461
8.0,8,371.399992
9.0,9,371.840051
1.0,6,372.065875
-1.84084,4,372.231753
-3.449736,7,372.503642
9.0,9,372.803064
0.0,5,372.968717
8.615844,10,373.174587
-1.0,5,373.331795
-0.373185,7,373.552813
-2.370348,5,373.803052
4.627229,13,374.357268
-3.381298,8,374.622939
8.615645,10,374.999341
6.21786,13,375.408295
1.165578,13,376.311621
0.0,6,376.572209
-1.0,5,376.835579
-2.208147,5,377.119062
0.0,6,377.400834
-2.0,5,377.598424
0.0,6,377.915805
-1.0,5,378.0739
-2.0,4,378.281665
0.0,5,378.521854
0.0,6,378.808763
6.552057,9,379.145282
7.61852,9,379.413623
-1.0,5,379.529881
8.681208,10,379.882217
6.552042,12,380.428106
-1.0,5,380.564576
-2.436558,6,380.70542
6.11489,13,380.976332
7.0,12,381.368963
9.0,9,381.764122
8.616025,10,382.002053
9.0,9,382.339835
-1.0,5,382.571078
7.550194,10,382.94329
9.0,9,383.265305
7.353108,10,383.734404
-1.0,5,383.895139
-0.57992,5,384.058801
-1.379585,6,384.303305
7.459465,13,384.852025
0.0,6,385.052387
5.536334,12,385.431477
9.0,9,385.657031
-1.366575,6,385.920185
7.245295,11,386.256661
8.235026,11,386.615901
-1.0,5,386.831261
7.626732,9,387.223149
7.617435,9,387.426474
-2.524494,8,387.727932
-1.366575,6,388.014216
6.206294,13,388.50017
8.0,8,388.744456
8.615645,10,389.098372
10.0,10,389.416964
-1.0,5,389.644463
0.0,6,389.837421
9.0,9,390.377533
9.0,9,390.740932
6.536343,13,391.306046
-1.0,5,391.441241
-2.318366,6,391.619061
-1.793535,8,392.003053
9.0,11,392.494746
7.617435,10,392.904093
-1.372771,6,393.103876
10.0,10,393.361196
7.549949,10,393.784775
-0.299923,5,394.003124
7.549949,10,394.518723
-1.366575,6,394.698452
0.0,6,394.918539
-0.373185,7,395.156476
-1.0,5,395.366506
-0.841249,5,395.594791
9.0,9,395.99195
-1.0,5,396.240553
-1.0,4,396.381634
-1.0,5,396.579179
1.77426,9,396.923241
0.0,6,397.132123
-1.0,6,397.343365
-1.318719,6,397.515699
-2.373197,6,397.767014
-1.57953,4,397.87128
11.0,11,398.199495
8.633113,11,398.556435
-1.0,5,398.713977
-1.318719,5,398.869148
6.099669,12,399.441561
9.0,10,400.048181
-2.318366,5,400.273312
9.0,9,400.544314
-1.318719,6,400.774442
-1.0,5,400.964198
0.0,6,401.145715
-2.318366,5,401.468045
8.618513,10,401.78597
-1.0,5,402.103677
9.0,9,402.548192
-3.434136,5,402.726384
9.0,10,403.156056
6.615829,11,403.790751
0.0,6,403.981772
0.0,6,404.242308
8.62673,10,404.491854
6.178448,12,404.879781
-2.290496,6,405.127373
10.0,10,405.384558
0.0,6,405.573205
-1.372771,6,405.751381
1.0,6,406.009438
-2.370348,5,406.189731
-1.379585,7,406.437647
0.0,5,406.648528
-1.0,5,406.858948
6.525441,13,407.477814
-1.372771,5,407.681584
9.0,9,407.996417
10.0,10,408.388074
8.616025,10,408.606701
9.0,9,408.867822
-2.0,5,409.062796
0.0,6,409.310286
1.550181,13,409.785767
7.62673,10,410.202839
1.0,6,410.460935
-0.382068,7,410.705508
